book_id,year,title,image_url
2767052,2008.0,The Hunger Games,https://images.gr-assets.com/books/1447303603m/2767052.jpg
3,1997.0,Harry Potter and the Philosopher's Stone,https://images.gr-assets.com/books/1474154022m/3.jpg
41865,2005.0,Twilight,https://images.gr-assets.com/books/1361039443m/41865.jpg
2657,1960.0,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg
4671,1925.0,The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg
11870085,2012.0,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg
5907,1937.0,The Hobbit or There and Back Again,https://images.gr-assets.com/books/1372847500m/5907.jpg
5107,1951.0,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg
960,2000.0,Angels & Demons ,https://images.gr-assets.com/books/1303390735m/960.jpg
1885,1813.0,Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg
77203,2003.0,The Kite Runner ,https://images.gr-assets.com/books/1484565687m/77203.jpg
13335037,2011.0,Divergent,https://images.gr-assets.com/books/1328559506m/13335037.jpg
5470,1949.0,Nineteen Eighty-Four,https://images.gr-assets.com/books/1348990566m/5470.jpg
7613,1945.0,Animal Farm: A Fairy Story,https://images.gr-assets.com/books/1424037542m/7613.jpg
48855,1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,https://images.gr-assets.com/books/1358276407m/48855.jpg
2429135,2005.0,Män som hatar kvinnor,https://images.gr-assets.com/books/1327868566m/2429135.jpg
6148028,2009.0,Catching Fire,https://images.gr-assets.com/books/1358273780m/6148028.jpg
5,1999.0,Harry Potter and the Prisoner of Azkaban,https://images.gr-assets.com/books/1499277281m/5.jpg
34,1954.0, The Fellowship of the Ring,https://images.gr-assets.com/books/1298411339m/34.jpg
7260188,2010.0,Mockingjay,https://images.gr-assets.com/books/1358275419m/7260188.jpg
2,2003.0,Harry Potter and the Order of the Phoenix,https://images.gr-assets.com/books/1387141547m/2.jpg
12232938,2002.0,The Lovely Bones,https://images.gr-assets.com/books/1457810586m/12232938.jpg
15881,1998.0,Harry Potter and the Chamber of Secrets,https://images.gr-assets.com/books/1474169725m/15881.jpg
6,2000.0,Harry Potter and the Goblet of Fire,https://images.gr-assets.com/books/1361482611m/6.jpg
136251,2007.0,Harry Potter and the Deathly Hallows,https://images.gr-assets.com/books/1474171184m/136251.jpg
968,2003.0,The Da Vinci Code,https://images.gr-assets.com/books/1303252999m/968.jpg
1,2005.0,Harry Potter and the Half-Blood Prince,https://images.gr-assets.com/books/1361039191m/1.jpg
7624,1954.0,Lord of the Flies ,https://images.gr-assets.com/books/1327869409m/7624.jpg
18135,1595.0,An Excellent conceited Tragedie of Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg
19288043,2012.0,Gone Girl,https://images.gr-assets.com/books/1339602131m/8442457.jpg
4667024,2009.0,The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg
890,1937.0,Of Mice and Men ,https://images.gr-assets.com/books/1437235233m/890.jpg
929,1997.0,Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10818853,2011.0,Fifty Shades of Grey,https://images.gr-assets.com/books/1385207843m/10818853.jpg
865,1988.0,O Alquimista,https://images.gr-assets.com/books/1483412266m/865.jpg
3636,1993.0,The Giver,https://images.gr-assets.com/books/1342493368m/3636.jpg
100915,1950.0,"The Lion, the Witch and the Wardrobe",https://images.gr-assets.com/books/1353029077m/100915.jpg
18619684,2003.0,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815m/14050.jpg
13496,1996.0,A Game of Thrones,https://images.gr-assets.com/books/1436732693m/13496.jpg
19501,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",https://images.gr-assets.com/books/1503066414m/19501.jpg
28187,2005.0,The Lightning Thief,https://images.gr-assets.com/books/1400602609m/28187.jpg
1934,1868.0,Little Women,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10210,1847.0,Jane Eyre,https://images.gr-assets.com/books/1327867269m/10210.jpg
15931,1996.0,The Notebook,https://images.gr-assets.com/books/1385738917m/15931.jpg
4214,2001.0,Life of Pi,https://images.gr-assets.com/books/1320562005m/4214.jpg
43641,2006.0,Water for Elephants,https://images.gr-assets.com/books/1494428973m/43641.jpg
19063,2005.0,The Book Thief,https://images.gr-assets.com/books/1390053681m/19063.jpg
4381,1953.0,Fahrenheit 451,https://images.gr-assets.com/books/1351643740m/4381.jpg
49041,2006.0,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440m/49041.jpg
30119,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,https://images.gr-assets.com/books/1168052448m/30119.jpg
256683,2007.0,City of Bones,https://images.gr-assets.com/books/1432730315m/256683.jpg
428263,2007.0,Eclipse,https://images.gr-assets.com/books/1361038355m/428263.jpg
113436,2002.0,Eragon,https://images.gr-assets.com/books/1366212852m/113436.jpg
386162,1979.0,The Hitchhiker's Guide to the Galaxy,https://images.gr-assets.com/books/1327656754m/11.jpg
5129,1932.0,Brave New World,https://images.gr-assets.com/books/1487389574m/5129.jpg
1162543,2008.0,Breaking Dawn,https://images.gr-assets.com/books/1361039438m/1162543.jpg
37435,2001.0,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532m/37435.jpg
2956,1884.0,The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850m/2956.jpg
24178,1952.0,Charlotte's Web,https://images.gr-assets.com/books/1439632243m/24178.jpg
1618,2003.0,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624m/1618.jpg
22557272,2015.0,The Girl on the Train,https://images.gr-assets.com/books/1490903702m/22557272.jpg
119322,1995.0,Northern Lights,https://images.gr-assets.com/books/1451271747m/119322.jpg
6185,1847.0,Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10917,2004.0,My Sister's Keeper,https://images.gr-assets.com/books/1369504683m/10917.jpg
4981,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",https://images.gr-assets.com/books/1440319389m/4981.jpg
18405,1936.0,Gone with the Wind,https://images.gr-assets.com/books/1328025229m/18405.jpg
128029,2007.0,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969m/128029.jpg
22628,1999.0,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178m/22628.jpg
11735983,2012.0,Insurgent,https://images.gr-assets.com/books/1325667729m/11735983.jpg
375802,1985.0,Ender's Game,https://images.gr-assets.com/books/1408303130m/375802.jpg
18490,1818.0,"Frankenstein; or, The Modern Prometheus",https://images.gr-assets.com/books/1381512375m/18490.jpg
11588,1977.0,The Shining,https://images.gr-assets.com/books/1353277730m/11588.jpg
1656001,2008.0,The Host,https://images.gr-assets.com/books/1318009171m/1656001.jpg
